unique.cellid,unique.drugid
SK-LMS-1,PD-0332991
SK-LU-1,PD-0332991
SK-MEL-1,PD-0332991
SK-MEL-2,PD-0332991
SK-MEL-28,PD-0332991
SK-MEL-3,PD-0332991
SK-MEL-5,PD-0332991
SK-MES-1,PD-0332991
SK-N-AS,PD-0332991
SK-N-BE(2),PD-0332991
SK-N-DZ,PD-0332991
SK-N-FI,PD-0332991
SK-NEP-1,PD-0332991
SK-OV-3,PD-0332991
SK-UT-1,PD-0332991
SKM-1,PD-0332991
SN12C,PD-0332991
SNB19,PD-0332991
SNB75,PD-0332991
SNG-M,PD-0332991
SNU-1,PD-0332991
SNU-1040,PD-0332991
SNU-16,PD-0332991
SNU-175,PD-0332991
SNU-182,PD-0332991
SNU-387,PD-0332991
SNU-398,PD-0332991
SNU-423,PD-0332991
SNU-449,PD-0332991
SNU-475,PD-0332991
SNU-5,PD-0332991
SNU-61,PD-0332991
SNU-81,PD-0332991
SNU-840,PD-0332991
SNU-C2A,PD-0332991
SNU-C4,PD-0332991
SNU-C5,PD-0332991
Sq-1,PD-0332991
SR,PD-0332991
SU-DHL-10,PD-0332991
SU-DHL-16,PD-0332991
SU-DHL-4,PD-0332991
SU-DHL-5,PD-0332991
SU-DHL-6,PD-0332991
SU.86.86,PD-0332991
SUIT-2,PD-0332991
SUM 1315M02,PD-0332991
SUM 149PT,PD-0332991
SUM 159PT,PD-0332991
SUM 229PE,PD-0332991
SUM225CWN,PD-0332991
SUM 52PE,PD-0332991
SUM102PT,PD-0332991
SUM185PE,PD-0332991
SUM44PE,PD-0332991
SW 1271,PD-0332991
SW 1353,PD-0332991
SUM 190,PD-0332991
SW 527,PD-0332991
SW1088,PD-0332991
SW1116,PD-0332991
SW13,PD-0332991
SW1417,PD-0332991
SW1463,PD-0332991
SW1573,PD-0332991
SW1710,PD-0332991
SW1783,PD-0332991
SW1990,PD-0332991
SW403,PD-0332991
SW48,PD-0332991
SW480,PD-0332991
SW620,PD-0332991
SW626,PD-0332991
SW780,PD-0332991
SW837,PD-0332991
SW900,PD-0332991
SW948,PD-0332991
SW982,PD-0332991
T-24,PD-0332991
T3M-10,PD-0332991
T47D,PD-0332991
TE 125.T,PD-0332991
TE 159.T,PD-0332991
TE 441.T,PD-0332991
TE 617.T,PD-0332991
THP-1,PD-0332991
TI-73,PD-0332991
TK10,PD-0332991
TO 175.T,PD-0332991
Toledo,PD-0332991
TYK-nu,PD-0332991
U-118-MG,PD-0332991
U-138 MG,PD-0332991
U-2-OS,PD-0332991
U-266,PD-0332991
U-87-MG,PD-0332991
U-937,PD-0332991
U251,PD-0332991
UACC-257,PD-0332991
UACC-3199,PD-0332991
UACC-62,PD-0332991
UACC-812,PD-0332991
UACC-893,PD-0332991
UM-UC-3,PD-0332991
UMC-11,PD-0332991
UO31,PD-0332991
VCaP,PD-0332991
VM-CUB-1,PD-0332991
VMRC-LCD,PD-0332991
VMRC-RCW,PD-0332991
WIDR,PD-0332991
WM-115,PD-0332991
WM-266-4,PD-0332991
WM-793,PD-0332991
WM-983B,PD-0332991
WSU-DLCL2,PD-0332991
YKG-1,PD-0332991
ZR-75-1,PD-0332991
ZR-75-30,PD-0332991
ZR75B,PD-0332991
184A1,GDC-0941
184B5,GDC-0941
22RV1,GDC-0941
23132-87,GDC-0941
600MPE,GDC-0941
639-V,GDC-0941
647-V,GDC-0941
769-P,GDC-0941
786-0,GDC-0941
A204,GDC-0941
A253,GDC-0941
A3-KAW,GDC-0941
A375,GDC-0941
A4-Fuk,GDC-0941
A427,GDC-0941
A431,GDC-0941
A498,GDC-0941
A549,GDC-0941
A673,GDC-0941
A704,GDC-0941
ACHN,GDC-0941
AMO-1,GDC-0941
AN3-CA,GDC-0941
ARH-77,GDC-0941
AsPC-1,GDC-0941
AU565,GDC-0941
AU655,GDC-0941
BC-1,GDC-0941
BC-2,GDC-0941
BC-3,GDC-0941
BCPAP,GDC-0941
BDCM,GDC-0941
BE(2)-C,GDC-0941
BEWO,GDC-0941
BFTC-905,GDC-0941
BHT-101,GDC-0941
BICR 10,GDC-0941
BICR 16,GDC-0941
BICR 18,GDC-0941
BICR 22,GDC-0941
BICR 31,GDC-0941
BICR 56,GDC-0941
BICR 6,GDC-0941
BICR 78,GDC-0941
BL-70,GDC-0941
BPH-1,GDC-0941
BT-20,GDC-0941
BT-474,GDC-0941
BT-483,GDC-0941
BT-549,GDC-0941
BV-173,GDC-0941
BxPC-3,GDC-0941
C-33-A,GDC-0941
C-4 I,GDC-0941
C-4-II,GDC-0941
C2BBe1,GDC-0941
C32,GDC-0941
Ca-Ski,GDC-0941
CAKI-1,GDC-0941
Caki-2,GDC-0941
CAL-120,GDC-0941
CAL-12T,GDC-0941
CAL-148,GDC-0941
CAL-27,GDC-0941
CAL-51,GDC-0941
CAL-54,GDC-0941
CAL-62,GDC-0941
CAL-85-1,GDC-0941
Calu-1,GDC-0941
Calu-3,GDC-0941
Calu-6,GDC-0941
CAMA-1,GDC-0941
Caov-3,GDC-0941
CAPAN-1,GDC-0941
Capan-2,GDC-0941
CCF-STTG1,GDC-0941
CCRF-CEM,GDC-0941
CEMC1,GDC-0941
CFPAC-1,GDC-0941
CGTH-W-1,GDC-0941
ChaGo-K-1,GDC-0941
CHL-1,GDC-0941
CHP-212,GDC-0941
CL-34,GDC-0941
CL-40,GDC-0941
CML-T1,GDC-0941
COLO 201,GDC-0941
COLO 320DM,GDC-0941
COLO-205,GDC-0941
COLO-320-HSR,GDC-0941
COLO-668,GDC-0941
COLO-678,GDC-0941
COLO-679,GDC-0941
COLO-680N,GDC-0941
COLO-684,GDC-0941
COLO-699,GDC-0941
COLO-704,GDC-0941
COLO-741,GDC-0941
COLO-792,GDC-0941
COLO-800,GDC-0941
COLO-824,GDC-0941
COLO-829,GDC-0941
COLO-849,GDC-0941
COR-L105,GDC-0941
COR-L23,GDC-0941
COR-L279,GDC-0941
COR-L51,GDC-0941
COR-L88,GDC-0941
CRO-AP2,GDC-0941
CRO-AP5,GDC-0941
CW-2,GDC-0941
D-283MED,GDC-0941
D341 Med,GDC-0941
Daudi,GDC-0941
DBTRG-05MG,GDC-0941
Detroit562,GDC-0941
DG-75,GDC-0941
DK-MG,GDC-0941
DLD-1,GDC-0941
DMS 454,GDC-0941
DMS-114,GDC-0941
DMS-153,GDC-0941
DMS-273,GDC-0941
DMS-53,GDC-0941
DMS-79,GDC-0941
DOHH-2,GDC-0941
DoTc2-4510,GDC-0941
DU-145,GDC-0941
DU-4475,GDC-0941
DV-90,GDC-0941
EB-3,GDC-0941
EBC-1,GDC-0941
EFM-19,GDC-0941
EFM-192A,GDC-0941
EFM-192B,GDC-0941
EFM-192C,GDC-0941
EFO-21,GDC-0941
EFO-27,GDC-0941
EKVX,GDC-0941
EM-2,GDC-0941
EoL-1-cell,GDC-0941
EPLC-272H,GDC-0941
ES-2,GDC-0941
EVSA-T,GDC-0941
FADU,GDC-0941
G-292    clone A141B1,GDC-0941
G-361,GDC-0941
G-401,GDC-0941
G-402,GDC-0941
GA-10,GDC-0941
GA-10 (Clone 20),GDC-0941
GDM-1,GDC-0941
Gp2D,GDC-0941
HBL-100,GDC-0941
HCC-1171,GDC-0941
HCC-1195,GDC-0941
HCC-1359,GDC-0941
HCC-15,GDC-0941
HCC-1833,GDC-0941
HCC-2108,GDC-0941
HCC-2279,GDC-0941
HCC-33,GDC-0941
HCC-366,GDC-0941
HCC-44,GDC-0941
HCC-78,GDC-0941
HCC1008,GDC-0941
HCC1143,GDC-0941
HCC1187,GDC-0941
HCC1395,GDC-0941
HCC1419,GDC-0941
HCC1428,GDC-0941
HCC1500,GDC-0941
HCC1569,GDC-0941
HCC1599,GDC-0941
HCC1806,GDC-0941
HCC1937,GDC-0941
HCC1954,GDC-0941
HCC202,GDC-0941
HCC2185,GDC-0941
HCC2218,GDC-0941
HCC2688,GDC-0941
HCC2998,GDC-0941
HCC3153,GDC-0941
HCC38,GDC-0941
HCC70,GDC-0941
HCC712,GDC-0941
HCC812,GDC-0941
HCC827,GDC-0941
HCT-116,GDC-0941
HCT-15,GDC-0941
HCT-8,GDC-0941
HD-MY-Z,GDC-0941
HDQ-P1,GDC-0941
HEC-1,GDC-0941
HEC-1-A,GDC-0941
HEC-108,GDC-0941
HEC-151,GDC-0941
HEC-251,GDC-0941
HEC-265,GDC-0941
HEC-59,GDC-0941
HEC-6,GDC-0941
HEK TE,GDC-0941
HEL 92.1.7,GDC-0941
HeLa,GDC-0941
Hep 3B2.1-7,GDC-0941
Hep G2,GDC-0941
HEY,GDC-0941
Hey-A8,GDC-0941
HL-60,GDC-0941
HMV-II,GDC-0941
HOP-62,GDC-0941
HOP-92,GDC-0941
HPAF-II,GDC-0941
Hs 172.T,GDC-0941
Hs 229.T,GDC-0941
Hs 255.T,GDC-0941
Hs 281.T,GDC-0941
Hs 294T,GDC-0941
Hs 343.T,GDC-0941
Hs 600.T,GDC-0941
Hs 606.T,GDC-0941
Hs 611.T,GDC-0941
Hs 616.T,GDC-0941
Hs 618.T,GDC-0941
Hs 675.T,GDC-0941
Hs 683,GDC-0941
Hs 688(A).T,GDC-0941
Hs 695T,GDC-0941
Hs 698.T,GDC-0941
Hs 706.T,GDC-0941
Hs 729,GDC-0941
Hs 737.T,GDC-0941
Hs 739.T,GDC-0941
Hs 742.T,GDC-0941
Hs 746T,GDC-0941
Hs 766T,GDC-0941
Hs 819.T,GDC-0941
Hs 821.T,GDC-0941
Hs 822.T,GDC-0941
Hs 834.T,GDC-0941
Hs 839.T,GDC-0941
Hs 840.T,GDC-0941
Hs 852.T,GDC-0941
Hs 863.T,GDC-0941
Hs 870.T,GDC-0941
Hs 888.T,GDC-0941
Hs 895.T,GDC-0941
Hs 934.T,GDC-0941
Hs 936.T,GDC-0941
Hs 939.T,GDC-0941
Hs 940.T,GDC-0941
Hs 944.T,GDC-0941
Hs-578-T,GDC-0941
HS-Sultan,GDC-0941
HSC-2,GDC-0941
HT-1080,GDC-0941
HT-115,GDC-0941
HT-1197,GDC-0941
HT-1376,GDC-0941
HT-29,GDC-0941
HT-3,GDC-0941
HT55,GDC-0941
HuH-28,GDC-0941
HUH-6-clone5,GDC-0941
HuH-7,GDC-0941
HuNS1,GDC-0941
HuP-T3,GDC-0941
HuP-T4,GDC-0941
HuT 102,GDC-0941
HuT 78,GDC-0941
HUTU-80,GDC-0941
IGROV-1,GDC-0941
IM-95,GDC-0941
Ishikawa (Heraklio) 02 ER-,GDC-0941
J-RT3-T3-5,GDC-0941
JEG-3,GDC-0941
JeKo-1,GDC-0941
JHH-6,GDC-0941
JHOC-5,GDC-0941
JHOM-1,GDC-0941
JHOS-4,GDC-0941
JHUEM-2,GDC-0941
JIMT-1,GDC-0941
JiyoyeP-2003,GDC-0941
JM1,GDC-0941
Jurkat    Clone E6-1,GDC-0941
JVM-3,GDC-0941
K-562,GDC-0941
K052,GDC-0941
KASUMI-1,GDC-0941
KASUMI-2,GDC-0941
KATOIII,GDC-0941
KE-97,GDC-0941
KG-1,GDC-0941
KHOS-240S,GDC-0941
KM12,GDC-0941
KMBC-2,GDC-0941
KMS-11,GDC-0941
KNS-62,GDC-0941
KNS-81-FD,GDC-0941
KP-3,GDC-0941
KP-4,GDC-0941
KP-N-S19s,GDC-0941
KPL-1,GDC-0941
KYSE-140,GDC-0941
KYSE-30,GDC-0941
KYSE-410,GDC-0941
KYSE-450,GDC-0941
L-428,GDC-0941
LC-1/sq-SF,GDC-0941
LCLC-103H,GDC-0941
LCLC-97TM1,GDC-0941
LN-229,GDC-0941
LNCaP-Clone-FGC,GDC-0941
LOUCY,GDC-0941
LoVo,GDC-0941
LOXIMVI,GDC-0941
LP-1,GDC-0941
LS 180,GDC-0941
LS-1034,GDC-0941
LS-123,GDC-0941
LS-174T,GDC-0941
LS-411N,GDC-0941
LS-513,GDC-0941
LU-135,GDC-0941
LU-65,GDC-0941
LU-99A,GDC-0941
LXF-289,GDC-0941
LY2,GDC-0941
M14,GDC-0941
Malme-3M,GDC-0941
MA-CLS-2,GDC-0941
MB 157,GDC-0941
MC-CAR,GDC-0941
MC-IXC,GDC-0941
MCF10A,GDC-0941
MCF10F,GDC-0941
MCF12A,GDC-0941
MCF7,GDC-0941
MDA PCa 2b,GDC-0941
MDA-MB-134-VI,GDC-0941
MDA-MB-157,GDC-0941
MDA-MB-175-VII,GDC-0941
MDA-MB-231,GDC-0941
MDA-MB-330,GDC-0941
MDA-MB-361,GDC-0941
MDA-MB-415,GDC-0941
MDA-MB-435,GDC-0941
MDA-MB-436,GDC-0941
MDA-MB-453,GDC-0941
MDA-MB-468,GDC-0941
MEC-1,GDC-0941
MEG-01,GDC-0941
MES-SA,GDC-0941
Mewo,GDC-0941
MFE-319,GDC-0941
MFM-223,GDC-0941
MG-63,GDC-0941
MHH-PREB-1,GDC-0941
MIA-PaCa-2,GDC-0941
MKN1,GDC-0941
MKN45,GDC-0941
MKN7,GDC-0941
MKN74,GDC-0941
ML-2,GDC-0941
MM1-S,GDC-0941
MOLM-16,GDC-0941
MOLT-16,GDC-0941
MOLT-4,GDC-0941
MOR/CPR,GDC-0941
MPP-89,GDC-0941
MSTO-211H,GDC-0941
MT3,GDC-0941
MV-4-11,GDC-0941
MX-1,GDC-0941
NALM-1,GDC-0941
NALM-6,GDC-0941
NB-TU-1-10,GDC-0941
NB1,GDC-0941
NB4,GDC-0941
NC37,GDC-0941
NCC-IT-A3,GDC-0941
NCI-ADR-RES,GDC-0941
NCI-H1048,GDC-0941
NCI-H1092,GDC-0941
NCI-H1105,GDC-0941
NCI-H1155,GDC-0941
NCI-H1299,GDC-0941
NCI-H1355,GDC-0941
NCI-H1373,GDC-0941
NCI-H1395,GDC-0941
NCI-H1435,GDC-0941
NCI-H1436,GDC-0941
NCI-H1437,GDC-0941
NCI-H146,GDC-0941
NCI-H1563,GDC-0941
NCI-H1568,GDC-0941
NCI-H157,GDC-0941
NCI-H1573,GDC-0941
NCI-H1581,GDC-0941
NCI-H1618,GDC-0941
NCI-H1623,GDC-0941
NCI-H1650,GDC-0941
NCI-H1651,GDC-0941
NCI-H1666,GDC-0941
NCI-H1694,GDC-0941
NCI-H1703,GDC-0941
NCI-H1755,GDC-0941
NCI-H1770,GDC-0941
NCI-H1781,GDC-0941
NCI-H1792,GDC-0941
NCI-H1793,GDC-0941
NCI-H1836,GDC-0941
NCI-H1838,GDC-0941
NCI-H187,GDC-0941
NCI-H1876,GDC-0941
NCI-H1915,GDC-0941
NCI-H1930,GDC-0941
NCI-H1944,GDC-0941
NCI-H1963,GDC-0941
NCI-H1975,GDC-0941
NCI-H1993,GDC-0941
NCI-H2009,GDC-0941
NCI-H2023,GDC-0941
NCI-H2029,GDC-0941
NCI-H2030,GDC-0941
NCI-H2052,GDC-0941
NCI-H2073,GDC-0941
NCI-H2081,GDC-0941
NCI-H2087,GDC-0941
NCI-H209,GDC-0941
NCI-H2107,GDC-0941
NCI-H2110,GDC-0941
NCI-H2122,GDC-0941
NCI-H2126,GDC-0941
NCI-H2141,GDC-0941
NCI-H2170,GDC-0941
NCI-H2171,GDC-0941
NCI-H2172,GDC-0941
NCI-H2196,GDC-0941
NCI-H2228,GDC-0941
NCI-H226,GDC-0941
NCI-H2286,GDC-0941
NCI-H23,GDC-0941
NCI-H2342,GDC-0941
NCI-H2347,GDC-0941
NCI-H2405,GDC-0941
NCI-H28,GDC-0941
NCI-H292,GDC-0941
NCI-H295,GDC-0941
NCI-H322,GDC-0941
NCI-H3255,GDC-0941
NCI-H358,GDC-0941
NCI-H441,GDC-0941
NCI-H446,GDC-0941
NCI-H460,GDC-0941
NCI-H508,GDC-0941
NCI-H510A,GDC-0941
NCI-H520,GDC-0941
NCI-H522,GDC-0941
NCI-H524,GDC-0941
NCI-H526,GDC-0941
NCI-H596,GDC-0941
NCI-H630,GDC-0941
NCI-H650,GDC-0941
NCI-H660,GDC-0941
NCI-H661,GDC-0941
NCI-H69,GDC-0941
NCI-H716,GDC-0941
NCI-H720,GDC-0941
NCI-H727,GDC-0941
NCI-H747,GDC-0941
NCI-H748,GDC-0941
NCI-H810,GDC-0941
NCI-H82,GDC-0941
NCI-H838,GDC-0941
NCI-H841,GDC-0941
NCI-N87,GDC-0941
NCI-SNU-1,GDC-0941
NCI-SNU-16,GDC-0941
NCI-SNU-5,GDC-0941
NOMO-1,GDC-0941
NU-DUL-1,GDC-0941
NUGC-4,GDC-0941
OAW-28,GDC-0941
OAW-42,GDC-0941
OC-314,GDC-0941
OCI-AML3,GDC-0941
OCI-LY-7,GDC-0941
OCI-LY10,GDC-0941
OCI-LY3,GDC-0941
OCUB-M,GDC-0941
OV-90,GDC-0941
OV56,GDC-0941
OV7,GDC-0941
OVCA 420,GDC-0941
OVCAR-3,GDC-0941
OVCAR-4,GDC-0941
OVCAR-5,GDC-0941
OVCAR-8,GDC-0941
OVK18,GDC-0941
P30-OHK,GDC-0941
P31-FUJ,GDC-0941
P3HR-1,GDC-0941
PA-TU-8902,GDC-0941
Panc 02.03,GDC-0941
Panc 02.13,GDC-0941
Panc 03.27,GDC-0941
Panc 04.03,GDC-0941
Panc 05.04,GDC-0941
Panc 08.13,GDC-0941
Panc 10.05,GDC-0941
PC-3,GDC-0941
PE/CA-PJ15,GDC-0941
PE/CA-PJ34 (clone C12),GDC-0941
PE/CA-PJ41 (clone D2),GDC-0941
PE/CA-PJ49,GDC-0941
PE01,GDC-0941
PL-21,GDC-0941
PL45,GDC-0941
PLC-PRF-5,GDC-0941
QGP-1,GDC-0941
Raji,GDC-0941
RCH-ACV,GDC-0941
RCM-1,GDC-0941
RD-ES,GDC-0941
REC-1,GDC-0941
REH,GDC-0941
RERF-LC-KJ,GDC-0941
RKO-E6,GDC-0941
RL95-2,GDC-0941
RMG-I,GDC-0941
RMUG-S,GDC-0941
RPMI-2650,GDC-0941
RPMI-6666,GDC-0941
RPMI-8226,GDC-0941
RS4;11,GDC-0941
RWPE1,GDC-0941
RXF393,GDC-0941
Saos-2,GDC-0941
SC-1,GDC-0941
SCaBER,GDC-0941
SCC-15,GDC-0941
SCC-25,GDC-0941
SCC-4,GDC-0941
SCC-9,GDC-0941
SCLC-21H,GDC-0941
Set-2,GDC-0941
SF268,GDC-0941
SF295,GDC-0941
SF539,GDC-0941
SH-10-TC,GDC-0941
SH-4,GDC-0941
SHP-77,GDC-0941
SiHa,GDC-0941
SJSA-1,GDC-0941
SK-BR-3,GDC-0941
SK-BR-5,GDC-0941
SK-BR-7,GDC-0941
SK-CO-1,GDC-0941
SK-LMS-1,GDC-0941
SK-LU-1,GDC-0941
SK-MEL-1,GDC-0941
SK-MEL-2,GDC-0941
SK-MEL-28,GDC-0941
SK-MEL-3,GDC-0941
SK-MEL-5,GDC-0941
SK-MES-1,GDC-0941
SK-N-AS,GDC-0941
SK-N-BE(2),GDC-0941
SK-N-DZ,GDC-0941
SK-N-FI,GDC-0941
SK-NEP-1,GDC-0941
SK-OV-3,GDC-0941
SK-UT-1,GDC-0941
SKM-1,GDC-0941
SN12C,GDC-0941
SNB19,GDC-0941
SNB75,GDC-0941
SNG-M,GDC-0941
SNU-1,GDC-0941
SNU-1040,GDC-0941
SNU-16,GDC-0941
SNU-175,GDC-0941
SNU-182,GDC-0941
SNU-387,GDC-0941
SNU-398,GDC-0941
SNU-423,GDC-0941
SNU-449,GDC-0941
SNU-475,GDC-0941
SNU-5,GDC-0941
SNU-61,GDC-0941
SNU-81,GDC-0941
SNU-840,GDC-0941
SNU-C2A,GDC-0941
SNU-C4,GDC-0941
SNU-C5,GDC-0941
Sq-1,GDC-0941
SR,GDC-0941
SU-DHL-10,GDC-0941
SU-DHL-16,GDC-0941
SU-DHL-4,GDC-0941
SU-DHL-5,GDC-0941
SU-DHL-6,GDC-0941
SU.86.86,GDC-0941
SUIT-2,GDC-0941
SUM 1315M02,GDC-0941
SUM 149PT,GDC-0941
SUM 159PT,GDC-0941
SUM 229PE,GDC-0941
SUM225CWN,GDC-0941
SUM 52PE,GDC-0941
SUM102PT,GDC-0941
SUM185PE,GDC-0941
SUM44PE,GDC-0941
SW 1271,GDC-0941
SW 1353,GDC-0941
SUM 190,GDC-0941
SW 527,GDC-0941
SW1088,GDC-0941
SW1116,GDC-0941
SW13,GDC-0941
SW1417,GDC-0941
SW1463,GDC-0941
SW1573,GDC-0941
SW1710,GDC-0941
SW1783,GDC-0941
SW1990,GDC-0941
SW403,GDC-0941
SW48,GDC-0941
SW480,GDC-0941
SW620,GDC-0941
SW626,GDC-0941
SW780,GDC-0941
SW837,GDC-0941
SW900,GDC-0941
SW948,GDC-0941
SW982,GDC-0941
T-24,GDC-0941
T3M-10,GDC-0941
T47D,GDC-0941
TE 125.T,GDC-0941
TE 159.T,GDC-0941
TE 441.T,GDC-0941
TE 617.T,GDC-0941
THP-1,GDC-0941
TI-73,GDC-0941
TK10,GDC-0941
TO 175.T,GDC-0941
Toledo,GDC-0941
TYK-nu,GDC-0941
U-118-MG,GDC-0941
U-138 MG,GDC-0941
U-2-OS,GDC-0941
U-266,GDC-0941
U-87-MG,GDC-0941
U-937,GDC-0941
U251,GDC-0941
UACC-257,GDC-0941
UACC-3199,GDC-0941
UACC-62,GDC-0941
UACC-812,GDC-0941
UACC-893,GDC-0941
UM-UC-3,GDC-0941
UMC-11,GDC-0941
UO31,GDC-0941
VCaP,GDC-0941
VM-CUB-1,GDC-0941
VMRC-LCD,GDC-0941
VMRC-RCW,GDC-0941
WIDR,GDC-0941
WM-115,GDC-0941
WM-266-4,GDC-0941
WM-793,GDC-0941
WM-983B,GDC-0941
WSU-DLCL2,GDC-0941
YKG-1,GDC-0941
ZR-75-1,GDC-0941
ZR-75-30,GDC-0941
ZR75B,GDC-0941
184A1,PD173074
184B5,PD173074
22RV1,PD173074
23132-87,PD173074
600MPE,PD173074
639-V,PD173074
647-V,PD173074
769-P,PD173074
786-0,PD173074
A204,PD173074
A253,PD173074
A3-KAW,PD173074
A375,PD173074
A4-Fuk,PD173074
A427,PD173074
A431,PD173074
A498,PD173074
A549,PD173074
A673,PD173074
A704,PD173074
ACHN,PD173074
AMO-1,PD173074
AN3-CA,PD173074
ARH-77,PD173074
AsPC-1,PD173074
AU565,PD173074
AU655,PD173074
BC-1,PD173074
BC-2,PD173074
BC-3,PD173074
BCPAP,PD173074
BDCM,PD173074
BE(2)-C,PD173074
BEWO,PD173074
BFTC-905,PD173074
BHT-101,PD173074
BICR 10,PD173074
BICR 16,PD173074
BICR 18,PD173074
BICR 22,PD173074
BICR 31,PD173074
BICR 56,PD173074
BICR 6,PD173074
BICR 78,PD173074
BL-70,PD173074
BPH-1,PD173074
BT-20,PD173074
BT-474,PD173074
BT-483,PD173074
BT-549,PD173074
BV-173,PD173074
BxPC-3,PD173074
C-33-A,PD173074
C-4 I,PD173074
C-4-II,PD173074
C2BBe1,PD173074
C32,PD173074
Ca-Ski,PD173074
CAKI-1,PD173074
Caki-2,PD173074
CAL-120,PD173074
CAL-12T,PD173074
CAL-148,PD173074
CAL-27,PD173074
CAL-51,PD173074
CAL-54,PD173074
CAL-62,PD173074
CAL-85-1,PD173074
Calu-1,PD173074
Calu-3,PD173074
Calu-6,PD173074
CAMA-1,PD173074
Caov-3,PD173074
CAPAN-1,PD173074
Capan-2,PD173074
CCF-STTG1,PD173074
CCRF-CEM,PD173074
CEMC1,PD173074
CFPAC-1,PD173074
CGTH-W-1,PD173074
ChaGo-K-1,PD173074
CHL-1,PD173074
CHP-212,PD173074
CL-34,PD173074
CL-40,PD173074
CML-T1,PD173074
COLO 201,PD173074
COLO 320DM,PD173074
COLO-205,PD173074
COLO-320-HSR,PD173074
COLO-668,PD173074
COLO-678,PD173074
COLO-679,PD173074
COLO-680N,PD173074
COLO-684,PD173074
COLO-699,PD173074
COLO-704,PD173074
COLO-741,PD173074
COLO-792,PD173074
COLO-800,PD173074
COLO-824,PD173074
COLO-829,PD173074
COLO-849,PD173074
COR-L105,PD173074
COR-L23,PD173074
COR-L279,PD173074
COR-L51,PD173074
COR-L88,PD173074
CRO-AP2,PD173074
CRO-AP5,PD173074
CW-2,PD173074
D-283MED,PD173074
D341 Med,PD173074
Daudi,PD173074
DBTRG-05MG,PD173074
Detroit562,PD173074
DG-75,PD173074
DK-MG,PD173074
DLD-1,PD173074
DMS 454,PD173074
DMS-114,PD173074
DMS-153,PD173074
DMS-273,PD173074
DMS-53,PD173074
DMS-79,PD173074
DOHH-2,PD173074
DoTc2-4510,PD173074
DU-145,PD173074
DU-4475,PD173074
DV-90,PD173074
EB-3,PD173074
EBC-1,PD173074
EFM-19,PD173074
EFM-192A,PD173074
EFM-192B,PD173074
EFM-192C,PD173074
EFO-21,PD173074
EFO-27,PD173074
EKVX,PD173074
EM-2,PD173074
EoL-1-cell,PD173074
EPLC-272H,PD173074
ES-2,PD173074
EVSA-T,PD173074
FADU,PD173074
G-292    clone A141B1,PD173074
G-361,PD173074
G-401,PD173074
G-402,PD173074
GA-10,PD173074
GA-10 (Clone 20),PD173074
GDM-1,PD173074
Gp2D,PD173074
HBL-100,PD173074
HCC-1171,PD173074
HCC-1195,PD173074
HCC-1359,PD173074
HCC-15,PD173074
HCC-1833,PD173074
HCC-2108,PD173074
HCC-2279,PD173074
HCC-33,PD173074
HCC-366,PD173074
HCC-44,PD173074
HCC-78,PD173074
HCC1008,PD173074
HCC1143,PD173074
HCC1187,PD173074
HCC1395,PD173074
HCC1419,PD173074
HCC1428,PD173074
HCC1500,PD173074
HCC1569,PD173074
HCC1599,PD173074
HCC1806,PD173074
HCC1937,PD173074
HCC1954,PD173074
HCC202,PD173074
HCC2185,PD173074
HCC2218,PD173074
HCC2688,PD173074
HCC2998,PD173074
HCC3153,PD173074
HCC38,PD173074
HCC70,PD173074
HCC712,PD173074
HCC812,PD173074
HCC827,PD173074
HCT-116,PD173074
HCT-15,PD173074
HCT-8,PD173074
HD-MY-Z,PD173074
HDQ-P1,PD173074
HEC-1,PD173074
HEC-1-A,PD173074
HEC-108,PD173074
HEC-151,PD173074
HEC-251,PD173074
HEC-265,PD173074
HEC-59,PD173074
HEC-6,PD173074
HEK TE,PD173074
HEL 92.1.7,PD173074
HeLa,PD173074
Hep 3B2.1-7,PD173074
Hep G2,PD173074
HEY,PD173074
Hey-A8,PD173074
HL-60,PD173074
HMV-II,PD173074
HOP-62,PD173074
HOP-92,PD173074
HPAF-II,PD173074
Hs 172.T,PD173074
Hs 229.T,PD173074
Hs 255.T,PD173074
Hs 281.T,PD173074
Hs 294T,PD173074
Hs 343.T,PD173074
Hs 600.T,PD173074
Hs 606.T,PD173074
Hs 611.T,PD173074
Hs 616.T,PD173074
Hs 618.T,PD173074
Hs 675.T,PD173074
Hs 683,PD173074
Hs 688(A).T,PD173074
Hs 695T,PD173074
Hs 698.T,PD173074
Hs 706.T,PD173074
Hs 729,PD173074
Hs 737.T,PD173074
Hs 739.T,PD173074
Hs 742.T,PD173074
Hs 746T,PD173074
Hs 766T,PD173074
Hs 819.T,PD173074
Hs 821.T,PD173074
Hs 822.T,PD173074
Hs 834.T,PD173074
Hs 839.T,PD173074
Hs 840.T,PD173074
Hs 852.T,PD173074
Hs 863.T,PD173074
Hs 870.T,PD173074
Hs 888.T,PD173074
Hs 895.T,PD173074
Hs 934.T,PD173074
Hs 936.T,PD173074
Hs 939.T,PD173074
Hs 940.T,PD173074
Hs 944.T,PD173074
Hs-578-T,PD173074
HS-Sultan,PD173074
HSC-2,PD173074
HT-1080,PD173074
HT-115,PD173074
HT-1197,PD173074
HT-1376,PD173074
HT-29,PD173074
HT-3,PD173074
HT55,PD173074
HuH-28,PD173074
HUH-6-clone5,PD173074
HuH-7,PD173074
HuNS1,PD173074
HuP-T3,PD173074
HuP-T4,PD173074
HuT 102,PD173074
