Symbol,Approved_Symbol
rs4062679,rs482075
rs4024736,rs482717
rs17391957,rs482717
rs3951893,rs482768
rs34939653,rs482816
rs4023624,rs482891
rs4100443,rs482891
rs17842232,rs482891
rs67343665,rs482891
rs67343666,rs482891
rs4023714,rs483292
rs4119454,rs483292
rs3951688,rs483505
rs34155002,rs484768
rs4099549,rs485299
rs4024733,rs485436
rs4119362,rs485436
rs71259808,rs485436
rs16861899,rs485694
rs4966161,rs485797
rs35961957,rs485837
rs34517187,rs486350
rs4104350,rs486713
rs1924157,rs487205
rs35967318,rs487630
rs3872750,rs487668
rs4117756,rs487668
rs61815961,rs487668
rs1924156,rs488092
rs3867715,rs488140
rs4023661,rs488300
rs4024738,rs488361
rs3951882,rs489113
rs4023662,rs489118
rs3951690,rs489378
rs4023663,rs489378
rs4045913,rs489473
rs4023664,rs490107
rs4024739,rs490107
rs4023665,rs490233
rs4024740,rs490233
rs35533237,rs490303
rs35170586,rs490357
rs4024750,rs490644
rs4091296,rs490644
rs4023617,rs490722
rs4024749,rs490808
rs4091297,rs490808
rs3867714,rs490833
rs34742979,rs490930
rs2484577,rs491127
rs3951883,rs491127
rs4106546,rs491127
rs4263460,rs491127
rs6694846,rs491127
rs10903151,rs491127
rs4024669,rs491820
rs4023744,rs491865
rs4100413,rs491865
rs4493625,rs491865
rs10127979,rs491865
rs10449640,rs491865
rs17388173,rs492667
rs3867686,rs492680
rs3885175,rs493040
rs35959237,rs493252
rs4023564,rs493518
rs4114213,rs494550
rs4114212,rs494583
rs34896096,rs495351
rs34637662,rs495602
rs3867712,rs496341
rs4109338,rs496606
rs4436759,rs496606
rs34123373,rs496606
rs34362781,rs496849
rs35001745,rs497524
rs34169570,rs497550
rs4117245,rs497701
rs9697710,rs497701
rs10429718,rs497701
rs10453429,rs497701
rs17841794,rs498058
rs4023728,rs498638
rs4024802,rs498638
rs4119412,rs498638
rs67133489,rs498638
rs67133490,rs498638
rs3845289,rs498919
rs4122409,rs499136
rs4023727,rs499389
rs4119411,rs499389
rs2360591,rs499412
rs4023726,rs499412
rs4091306,rs499412
rs4119410,rs499412
rs71249149,rs499412
rs35393699,rs499542
rs3951886,rs499708
rs4122410,rs499935
rs17842809,rs500404
rs34980481,rs500404
rs4024747,rs500671
rs4100326,rs500856
rs35955377,rs501905
rs4045869,rs502855
rs34789946,rs503486
rs17388371,rs503564
rs4024824,rs503919
rs4091309,rs503919
rs71249150,rs503919
rs4024823,rs504007
rs4114205,rs504007
rs3867668,rs504100
rs71230325,rs504100
rs34696558,rs505407
rs4045893,rs505909
rs3867708,rs506125
rs35134151,rs506369
rs34070750,rs506441
rs35756627,rs506534
rs34714927,rs506554
rs35284665,rs506634
rs35358604,rs506711
rs1834565,rs507128
rs4122412,rs508790
rs4023502,rs509014
rs4089328,rs509014
rs4093241,rs509014
rs6423236,rs509014
rs11735885,rs509014
rs4122413,rs509528
rs4117543,rs509583
rs35631712,rs510084
rs34325503,rs510238
rs3951890,rs510817
rs4024755,rs510817
rs4088077,rs510817
rs67775793,rs511240
rs67775794,rs511240
rs4024756,rs511593
rs4023683,rs512440
rs34823489,rs513641
rs4928859,rs514132
rs35423752,rs514252
rs34662373,rs514304
rs34255044,rs514330
rs36115932,rs514339
rs34396547,rs515128
rs4023710,rs515460
rs4024812,rs515460
rs4023688,rs516759
rs36088581,rs516894
rs35290051,rs517006
rs35506557,rs517041
rs3951885,rs517283
rs4090763,rs517739
rs35565800,rs517739
rs3885425,rs518010
rs4024811,rs518010
rs4119440,rs518010
rs4024725,rs519226
rs71275632,rs519232
rs4023648,rs519286
rs3951631,rs519682
rs4090757,rs520791
rs4024722,rs521083
rs4024721,rs521174
rs3965474,rs521351
rs4025023,rs521659
rs4100341,rs521659
rs4024820,rs522108
rs4114207,rs522108
rs4045894,rs522256
rs34024151,rs522256
rs34165488,rs522310
rs34285153,rs522484
rs34010329,rs522655
rs3867678,rs522785
rs4024821,rs522853
rs4023616,rs522925
rs3867706,rs522936
rs4023720,rs523722
rs4024822,rs523722
rs4114206,rs523722
rs35139997,rs524275
rs4023554,rs524622
rs4119401,rs524622
rs36070024,rs524931
rs1816185,rs525001
rs4045895,rs525478
rs35288138,rs525478
rs35129483,rs525897
rs4023699,rs526543
rs36097751,rs526598
rs4023553,rs528220
rs4353974,rs528220
rs4045870,rs528267
rs4024819,rs528796
rs4114208,rs528796
rs4024818,rs528855
rs4114209,rs528855
rs35157437,rs529350
rs4024748,rs530026
rs4100324,rs530026
rs4045871,rs530098
rs4122417,rs530098
rs3867663,rs530169
rs4119342,rs530169
rs4045873,rs530231
rs4122419,rs530231
rs71275631,rs530674
rs4023555,rs530877
rs4024650,rs530877
rs4088067,rs530877
rs4119400,rs530877
rs3853848,rs531025
rs4023557,rs531036
rs4024648,rs531036
rs4119399,rs531036
rs4592636,rs531228
rs4966069,rs531228
rs4045874,rs531230
rs4122420,rs531230
rs4966205,rs531473
rs4122404,rs531998
rs34892962,rs532457
rs3844614,rs532734
rs3927190,rs532776
rs4043818,rs532776
rs3853847,rs532903
rs34036397,rs532912
rs4045875,rs532968
rs4122421,rs532968
rs4087856,rs533244
rs4127716,rs533244
rs3853845,rs533782
rs4045892,rs534552
rs4024645,rs534624
rs4099545,rs534938
rs4099544,rs535016
rs3965472,rs535421
rs35862972,rs535421
rs34836350,rs535684
rs4023562,rs536335
rs4119394,rs536335
rs3193926,rs536785
rs4114144,rs536831
rs36177921,rs536831
rs34058580,rs536847
rs35127416,rs536926
rs35243671,rs537846
rs34594463,rs538683
rs3951687,rs539040
rs4117542,rs539316
rs4023689,rs540011
rs4045907,rs540050
rs4045908,rs540097
rs4062643,rs540148
rs35682552,rs540321
rs11541742,rs540525
rs71493480,rs541767
rs4090760,rs541804
rs4062644,rs541981
rs4096415,rs541981
rs4024682,rs542504
rs4117545,rs542517
rs4395057,rs542517
rs34075948,rs542561
rs4517775,rs542607
rs4090761,rs542848
rs4024805,rs544612
rs4119378,rs545129
rs71230328,rs545129
rs3951680,rs545746
rs71257514,rs545746
rs3951901,rs546092
rs35722179,rs547015
rs71257512,rs547402
rs3087627,rs548229
rs4099541,rs548389
rs3951679,rs548448
rs4091302,rs548448
rs71260530,rs548448
rs3902558,rs548571
rs4024825,rs548607
rs4091307,rs548607
rs34204369,rs549024
rs34023879,rs549761
rs3965612,rs549934
rs34509507,rs549934
rs4045866,rs549972
rs34764365,rs549987
rs35601221,rs550058
rs35733887,rs550082
rs4023731,rs550304
rs4119417,rs550304
rs4090751,rs550578
rs4045867,rs550642
rs1821151,rs550681
rs4109345,rs550681
rs4341723,rs550681
rs4045863,rs551271
rs4122408,rs551612
rs4122397,rs551740
rs2081552,rs552233
rs4045864,rs552233
rs4024804,rs552261
rs4088084,rs552261
rs71242821,rs552261
rs4100086,rs552533
rs4122398,rs552533
rs35682209,rs552964
rs4122399,rs553589
rs4592637,rs553589
rs35646827,rs553589
rs4122400,rs553612
rs34691800,rs554175
rs35244546,rs554184
rs4045882,rs554600
rs4090752,rs554600
rs4133842,rs554600
rs4328425,rs554600
rs4099540,rs555280
rs4023615,rs555638
rs71256099,rs555638
rs17395475,rs556010
rs71247878,rs556010
rs556102,rs556024
rs562353,rs556024
rs3885857,rs556024
rs4445881,rs556024
rs4580139,rs556024
rs4114214,rs556088
rs1829574,rs556182
rs4045883,rs556182
rs1829573,rs556210
rs4633700,rs556210
rs3951678,rs556777
rs4091303,rs556777
rs71242823,rs556777
rs3883505,rs556849
rs4024772,rs556849
rs71228573,rs556849
rs4024776,rs557280
rs71243957,rs557280
rs3951703,rs557443
rs4023575,rs557443
rs4119404,rs557443
rs34798892,rs558008
rs2450960,rs558498
rs2890227,rs558742
rs4096440,rs558929
rs4553609,rs558929
rs4045872,rs559130
rs4122418,rs559130
rs2093739,rs559284
rs4024792,rs559371
rs34125738,rs560510
rs4045909,rs560553
rs4096434,rs560768
rs4023614,rs561098
rs4045876,rs561876
rs34610290,rs562554
rs34768673,rs562610
rs4045877,rs562886
rs3867682,rs563124
rs4024670,rs563161
rs34378581,rs563527
rs3867718,rs563615
rs71246021,rs563931
rs4023690,rs564625
rs4024760,rs564625
rs4045878,rs564671
rs4024761,rs564680
rs4023718,rs564739
rs71259026,rs564739
rs4023645,rs565511
rs4024697,rs565555
rs71259027,rs565562
rs4099543,rs565619
rs4407045,rs565619
rs4023643,rs566253
rs71246023,rs566520
rs4023693,rs566523
rs34764662,rs566906
rs3969331,rs566958
rs34813665,rs567409
rs35139973,rs567418
rs34657220,rs567433
rs34765568,rs567648
rs2176916,rs568350
rs4312291,rs568350
rs4966066,rs568350
rs4966102,rs568574
rs4078783,rs568765
rs17842811,rs569614
rs3883511,rs570135
rs3867699,rs570831
rs67616650,rs570831
rs67616651,rs570831
rs4482266,rs571031
rs4966070,rs571031
rs35436163,rs571031
rs62197657,rs571031
rs34395062,rs571180
rs4493027,rs571236
rs4100402,rs572047
rs4596953,rs572047
rs71226350,rs572047
rs34551333,rs572551
rs4024816,rs572859
rs4100441,rs572859
rs35913218,rs573006
rs4024735,rs573081
rs71243952,rs573081
rs34407340,rs573414
rs35701927,rs573934
rs34208725,rs573976
rs4023678,rs574556
rs4119352,rs574556
rs3855943,rs574591
rs3867688,rs574754
rs4119369,rs574754
rs17393194,rs574857
rs3867720,rs574897
rs10436417,rs574897
rs4087848,rs575641
rs4589538,rs575641
rs3004529,rs575673
rs34805901,rs575673
rs34024549,rs575732
rs4122391,rs575869
rs4122411,rs576212
rs3867717,rs576397
rs71261794,rs576397
rs34598431,rs576465
rs4062653,rs576500
rs34491261,rs576500
rs4087849,rs576587
rs4286090,rs576587
rs35054491,rs576637
rs1589372,rs577326
rs2335137,rs577326
rs4024777,rs577394
rs4083513,rs577394
rs35419892,rs577664
rs4023600,rs578123
rs4062651,rs578181
rs3867674,rs578213
rs4087075,rs578251
rs35018202,rs578251
rs4023670,rs578764
rs3867705,rs579227
rs71243958,rs579227
rs4046442,rs579290
rs35264427,rs579407
rs4023695,rs579903
rs4110763,rs579903
rs4124214,rs580579
rs3965470,rs580791
rs4122407,rs580791
rs4100349,rs580837
rs1826079,rs583648
rs4094310,rs583648
rs4096000,rs583648
rs594862,rs584099
rs3994579,rs584696
rs4116057,rs585318
rs4337283,rs585318
rs71224018,rs585318
rs2001253,rs585694
rs4079682,rs585694
rs4112608,rs590995
rs2862227,rs591215
rs75638736,rs592766
rs3894515,rs593221
rs3941070,rs593221
rs3975502,rs593221
rs71235374,rs593466
rs1812079,rs594486
rs1846828,rs597555
rs4847630,rs597555
rs71224017,rs597555
rs1850315,rs600197
rs4095946,rs600583
rs4966112,rs601182
rs71248557,rs601182
rs4095987,rs601443
rs71206494,rs601443
rs4096001,rs605728
rs74202123,rs605728
rs4079260,rs605977
rs71230406,rs605977
rs3863587,rs606615
rs4411023,rs606615
rs4095989,rs606616
rs4015175,rs606691
rs4104001,rs606691
rs3941079,rs607656
rs4103998,rs610018
rs1812078,rs610762
rs3863615,rs613376
rs4266772,rs613376
rs1826078,rs613603
rs4095999,rs613603
rs4104000,rs613603
rs4310837,rs613603
rs2141687,rs617701
rs3941071,rs617701
rs3941084,rs617701
rs4095942,rs617701
rs2916271,rs618313
rs6607215,rs618313
rs4015180,rs621128
rs74202108,rs621128
rs2209212,rs621914
rs4015181,rs621914
rs4104011,rs621914
rs4585992,rs621914
rs9700542,rs621914
rs9782936,rs621914
rs10864831,rs621914
rs17396168,rs621914
rs71234708,rs621914
rs6422915,rs622119
rs4100215,rs623846
rs1836148,rs624327
rs7170677,rs624327
rs28642214,rs624467
rs4100024,rs624777
rs1809559,rs624944
rs1825623,rs625023
rs1829163,rs627483
rs71241743,rs627483
rs1814132,rs627653
rs4093277,rs627653
rs4104090,rs627653
rs4108650,rs627979
rs71241742,rs627979
rs3931799,rs630387
rs4093282,rs631734
rs4094303,rs631734
rs4095961,rs631734
rs4371134,rs631734
rs4095974,rs632644
rs4104145,rs632644
rs2141686,rs635244
rs3921413,rs635244
rs3941083,rs635244
rs2087406,rs635723
rs1733104,rs636383
rs3994708,rs637321
rs28450464,rs637321
rs4108653,rs642685
rs71241738,rs642685
rs2374863,rs642700
rs2090392,rs648250
rs3994700,rs649374
rs67742628,rs652274
rs67742629,rs652274
rs2915321,rs652480
rs4015182,rs653067
rs4104012,rs653067
rs4015179,rs654023
rs4104010,rs654023
rs4015178,rs654532
rs4104009,rs654532
rs1304582,rs656716
rs4104088,rs656716
rs4061389,rs660357
rs4093339,rs660357
rs4095996,rs660357
rs4087473,rs660823
rs71241740,rs660823
rs6607238,rs661081
rs17842981,rs661081
rs2916265,rs661421
rs6607239,rs661421
rs8039983,rs661421
rs9330966,rs661421
rs4015176,rs667704
rs4104002,rs667704
rs3914614,rs668594
rs4015174,rs668594
rs4249703,rs670462
rs4358813,rs670462
rs4095992,rs678788
rs71235373,rs678788
rs4115359,rs679144
rs71235372,rs679144
rs4095990,rs679576
rs3877951,rs681927
rs4095988,rs681927
rs4579640,rs684826
rs4970024,rs684826
rs7182437,rs684826
rs17840430,rs684826
rs4104085,rs685463
rs4557717,rs685463
rs1850314,rs685495
rs4061388,rs687552
rs4093338,rs687552
rs4095995,rs687552
rs1110871,rs688217
rs1836151,rs689578
rs3905540,rs692764
rs4023696,rs693159
rs4119391,rs693302
rs1834564,rs693869
rs2951737,rs694887
rs3199259,rs698550
rs3870321,rs698550
rs3926130,rs698550
rs11543315,rs698550
rs16963208,rs698550
rs66477903,rs698550
rs71232284,rs698550
rs3208639,rs700044
rs3878949,rs700044
rs3930772,rs700044
rs17842327,rs700044
rs3870323,rs711738
rs67827676,rs711738
rs67827677,rs711738
rs67827678,rs711738
rs67827679,rs711738
rs67827680,rs711738
rs71224957,rs711738
rs1810950,rs711878
rs3193244,rs711878
rs28533696,rs711878
rs4127902,rs866915
rs1757568,rs866916
rs3866299,rs866916
rs1757493,rs868759
rs4127899,rs883393
rs4079960,rs884503
rs1757494,rs884506
rs4083734,rs884506
rs3931797,rs891602
rs9330856,rs891602
rs10314363,rs891602
rs10321929,rs891602
rs10314369,rs891604
rs10436442,rs891604
rs9330852,rs891605
rs10314409,rs891605
rs1757556,rs914435
rs4120053,rs914435
rs1761155,rs914436
rs4120054,rs914436
