Symbol,Approved.Symbol
HFB1-GDNF,GDNF
HFB30,RNF14
HFC1,HCFC1
HFCRII-C,FCGR2C
HFE2A,HFE2
HFE2B,HAMP
HFE3,TFR2
HFE4,SLC40A1
HFH-11,FOXM1
HFH-4,FOXJ1
HFH1,FOXQ1
HFH2,FOXD3
HFH4,FOXJ1
HFI1,TADA1
HFIZ,FRZB
HFK1,FOXG1
HFK2,FOXG1
HFK3,FOXG1
HFKBP65,FKBP10
HFKH-5,FOXB1
HFKH1B,FOXP1
HFKH4,FOXE1
HFL-B5,EIF3M
HFL-EDDG1,SLMO1
HFL1,CFHR1
HFL2,CFHR1
HFL3,CFHR2
HFLEG1,HJURP
HFMI1,CELSR3
HFMI2,CELSR1
HFOG-2,ZFPM2
HFPG1,NEIL1
HFPG2,NEIL3
HFREP-1,FGL1
HFRTZ,WDPCP
HFSP,GZMA
HFTC,GALNT3
HFZ20,ZNF81
HFZ5,FZD5
HFZ6,FZD6
HG1003,OR7A2P
HG105,OR7D4
HG20,GABBR2
HG27,OR2D2
HG28K,RHOU
HG32,OR1J1
HG38,LGR5
HG449,OR4B2P
HG500,OR7E126P
HG513,OR7A1P
HG523,OR7E110P
HG533,OR7E37P
HG611,OR7E39P
HG616,OR7E28P
HG630,OR7E66P
HG674,OR7E110P
HG688,OR7E33P
HG83,OR7A8P
HG84,OR7E41P
HG94,OR7E2P
HG99,OR1K1
HGAA1,GPAA1
HGAL,GCSAM
HGB,CYGB
HGB1A,GABBR1
HGC6.1.1,KIF25-AS1
HGC6.2,LINC01558
HGC6.4,MLLT4-AS1
HGCMA,GCM1
HGCMB,GCM2
HGF,SOS1
HGF,IL6
HGF2,GINGF2
HGFA,HGFAC
HGFAL,HABP2
HGFAP,HGFAC
HGFB,HGF
HGFIN,GPNMB
HGFL,PIK3IP1
HGFL,MST1
HGFR,MET
HGH-N,GH1
HGH-V,GH2
HGITRL,TNFSF18
HGK,MAP4K4
HGL,LIPF
HGL,LLGL2
HGL,NRG1
HGLE1,GLE1
HGM071,OR1E1
HGMP07J,OR10J1
HGNAT,HGSNAT
HGNT-IV-H,MGAT4C
HGO,HGD
HGPCR2,GPR119
HGPCR35,GPR111
HGPCR36,GPR110
HGPCR37,GPR113
HGPI1,PIGQ
HGPI8,PIGK
HGPPS,ROBO3
HGPRT,HPRT1
HGPS,ZMPSTE24
HGPS,ROBO3
HGPS,LMNA
HGR74,NGFRAP1
HGRG8,YTHDF2P1
HGRG8,YTHDF2
HGT.1,SLC25A16
HGT2,GGTA2P
HH1,SCN5A
HH114,C15orf41
HH14,WDR11
HH4R,HRH4
HHAA,KRT41P
HHARI,ARIH1
HHARP,SMARCAL1
HHC,CASR
HHC1,CASR
HHC2,GNA11
HHC3,AP2S1
HHCP-6,NCAPD3
HHCPA78,TXNIP
HHDC,HECA
HHF1,ABCC8
HHG,LHCGR
HHG-3,DHH
HHG1,SHH
HHG2,IHH
HHGP,PRTFDC1
HHH,SLC25A15
HHL,RABGAP1L
HHLP1,HAP1
HHM,PTHLH
HHMJG,JRKL
HHNMC,SLC4A4
HHR21,RAD21
HHR23A,RAD23A
HHR23B,RAD23B
HHR54,RAD54L
HHR6A,UBE2A
HHR6B,UBE2B
HHRF-1,GEMIN4
HHRG-1,SLC48A1
HHS,GALNT3
HHT,ACVRL1
HHT1,ENG
HHT2,ACVRL1
HHYLTK,MATK
HHZ150,ZNF182
HHZ168,ZNF180
HHZ181,ZNF181
HI,AKAP4
HI,ABCC8
HI-LNC12,LINC01574
HI-LNC25,LINC01370
HI-LNC75,LINC00673
HI-LNC77,LINC01512
HI-LNC78,TUNAR
HI-LNC80,LINC00263
HI30,AMBP
HI95,SESN2
HIAN6,GIMAP8
HIAP-1,BIRC3
HIAP-2,BIRC2
HIBDL,GLYR1
HIC,MDFIC
HIC-5,TGFB1I1
HICE1,HAUS8
HID-1,HID1
HIDE1,C19orf38
HIES2,INO80B
HIES6,INO80C
HIF-1,SETD2
HIF-1ALPHA,HIF1A
HIF-1BETA,ARNT
HIF1,HIF1A
HIF2A,EPAS1
HIFPH1,EGLN2
HIFPH2,EGLN1
HIFPH3,EGLN3
HIFPH4,P4HTM
HIG-2,HILPDA
HIG1,HIGD1A
HIG2,HILPDA
HIGD1D,HIGD1AP1
HIGD1DP,HIGD1AP1
HIGD2BP,HIGD2B
HIGFBP-1,IGFBP1
HIGIRK2,KCNJ6
HIGM1,CD40LG
HIGM2,AICDA
HIGM4,UNG
HIGR,PVRL1
HIK-1,IKZF1
HIKCA1,KCNN4
HIKESHI,C11orf73
HIL-10R,IL10RA
HIL-17R,IL17RA
HILDA,LIF
HILI,PIWIL2
HILP,XIAP
HILP2,BIRC8
HIMAP1,GIMAP1
HIMAP2,GIMAP2
HIMAP3,GIMAP5
HIMAP4,GIMAP4
HIMTP,SLC22A25
HIN-1,SCGB3A1
HIN1,SCGB3A1
HIN1L,OTUD4P1
HINAC,ASIC5
HINF-P,HINFP
HINO80,INO80
HINT,HINT1
HINT-5,DCPS
HINTL,ITLN1
HINTP1,HINT1P1
HIOMT,ASMT
HIOMTY,ASMT
HIP,RPL29
HIP,ST13
HIP,HHIP
HIP,REG3A
HIP-55,DBNL
HIP10,PRPF40A
HIP116A,HLTF
HIP12,HIP1R
HIP13,FICD
HIP14,ZDHHC17
HIP14L,ZDHHC13
HIP17,HYPM
HIP2,UBE2K
HIP3,HIP1R
HIP4,CBS
HIP5,HAP1
HIP6,PSMD8
HIP7,OPTN
HIP8,MAGEA3
HIP9,AP2A2
HIPI3,RNF2
HIPPI,IFT57
HIR,KCNJ4
HIRIP4,DNAJA2
HIRIP5,NFU1
HIRK1,KCNJ12
HIRK2,KCNJ4
HIRS-1,IRS1
HIS,AKR1B10
HIS,HAL
HIS-1,VIS1
HIS1,VIS1
HIS1,HEXIM1
HIS1,HTN1
HIS2,HTN3
HISCA,ISCA1
HISPPD1,PPIP5K2
HISPPD2A,PPIP5K1
HISPPD2B,PPIP5K1P1
HISPPD2BP,PPIP5K1P1
HIST2H2AA,HIST2H2AA3
HIST2H4,HIST2H4A
HISWI,SMARCA5
HIT-40,ZNF799
HITF,TFF3
HIV-EP2,HIVEP2
HIVE1,CCNT1
HIWI,PIWIL1
HIWI2,PIWIL4
HIWI3,PIWIL3
HJ1,JAG1
HJAL,CREB3L4
HJT,JTB
HJUMPY,MTMR14
HJV,HFE2
HK-1,TAC4
HK1,HOOK1
HK1,KCNA4
HK1,HK1
HK2,HOOK2
HK2,KCNA5
HK2,KIF2A
HK2,HK2
HK2P,HK2P1
HK3,HOOK3
HK3,HK3
HK33,PEX19
HK4,GCK
HK4,KCNA2
HKB3,SLC4A2
HKCA4,KCNN4
HKE1.5,RGL2
HKE2,PFDN6
HKE3,RPS18
HKE4,SLC39A7
HKE5,COL11A2
HKE6,HSD17B8
HKF-1,RNF103
HKIB9,SPINT3
HKL1,ZNF354A
HKLC1B,KLC1
HKLC1G,KLC1
HKLC1J,KLC1
HKLC1N,KLC1
HKLC1P,KLC1
HKLC1R,KLC1
HKLC1S,KLC1
HKLP2,KIF15
HKMT1188,RHNO1
HKNL-1,CASC5
HKNL-3,DSN1
HKP1,TFB2M
HKR-T1,ZNF22
HKR18,ZNF160
HKR2,ZSCAN22
HKR3,ZBTB48
HKR4,GLI4
HKRP1,CCDC88A
HKRP2,CCDC88C
HKRP3,CCDC88B
HKSHIIIC,KCNC4
HKSP,KIF11
HKVB3,KCNAB1
HKVBETA2.1,KCNAB2
HKVBETA2.2,KCNAB2
HKVBETA3,KCNAB1
HL,HMGCL
HL,LIPC
HL-1,ITLN1
HL-11,DNAH1
HL-18,DNAH14
HL-19,DNAH12
HL-2,ITLN2
HL-2,DNAH6
HL-20,DNAH9
HL-3,DYNC1H1
HL1,DNAH5
HL11,DNAH1
HL14,LGALS2
HL18,DNAH14
HL20,DNAH9
HL9,LILRB3
HLA-16,HLA-T
HLA-17,HLA-S
HLA-21,HLA-U
HLA-30,HLA-N
HLA-59,HLA-J
HLA-70,HLA-K
HLA-75,HLA-V
HLA-80,HLA-W
HLA-90,HLA-P
HLA-92,HLA-L
HLA-BEL/COQ/DEL,HLA-Y
HLA-CDA12,HLA-J
HLA-D0-ALPHA,HLA-DOA
HLA-DNA,HLA-DOA
HLA-DP1A,HLA-DPA1
HLA-DP1B,HLA-DPB1
HLA-DP2A,HLA-DPA2
HLA-DP2B,HLA-DPB2
HLA-DQA,HLA-DQA1
HLA-DQB,HLA-DQB1
HLA-DR1B,HLA-DRB1
HLA-DR1BL,HLA-DRB9
HLA-DR2B,HLA-DRB2
HLA-DR3B,HLA-DRB3
HLA-DR4B,HLA-DRB4
HLA-DRA1,HLA-DRA
HLA-DRB1L,HLA-DRB9
HLA-DVB,HLA-DQB3
HLA-DXA,HLA-DQA2
HLA-DXB,HLA-DQB2
HLA-DZA,HLA-DOA
HLA-H,HFE
HLA-H,HLA-H
HLA-ISO,CCNL2
HLA-JY3,HLA-C
HLA-Z1,HLA-Z
HLA70,HLA-K
HLA92,HLA-L
HLAK,HLA-K
HLAL,HLA-L
HLAL,LIPF
HLALS,MR1
HLAR698,SBSN
HLAT1-3TM,SLC7A5P2
HLC-1,NDUFC2
HLC-8,C17orf80
HLC14-06-P,ITPA
HLC3,SLC4A1AP
HLC4,SPAG9
HLCB1,SPTLC1
HLCB2A,SPTLC2
HLCB2B,SPTLC3
HLCD,IFIH1
HLDA2,PHLDA2
HLE,ELANE
HLF,EPAS1
HLF,HLF
HLF2,LTF
HLF4,CFHR3
HLGA,GLS2
HLGP85,SCARB2
HLHB,LHB
HLHRC,SELL
HLHX2,LHX2
HLJ1,DNAJB4
HLK3,KCNA3
HLLP,LLPH
HLN,GNPDA1
HLNX,NLGN4X
HLON,LONP1
HLP,SKIV2L
HLP,GZMB
HLP,HAP1
HLP2,DDX3X
HLP2,HPCAL1
HLP3,SHH
HLP3,VSNL1
HLP4,HPCAL4
HLPR,PTPRA
HLR1,DDX5
HLR2,DDX6
HLRC1,DOHH
HLRP105,LRP3
HLS2,SERPIND1
HLS5,TRIM35
HLTF1,HLTF
HLUC7A,LUC7L3
HLUC7B1,LUC7L
HLUC7B2,LUC7L2
HLUGP,UGT1A6
HLUGP4,UGT1A9
HLX1,HLX
HLXB9,MNX1
HLY9,LY9
HM-CRF,CRHR2
HM18,LILRB4
HM31,LILRA3
HM43,LILRA3
HM63,FPR2
HM74,HCAR3
HM74A,HCAR2
HM89,CXCR4
HMAFA,MAFA
HMAFF,MAFF
HMAP126,SPAG5
HMAT-XA,GTDC1
HMAT1,ALG1
HMAT1,PEA15
HMBOA-7,MBOAT7
HMCD,MLYCD
HMCS,MOCOS
HME,MMP12
HMFN0320,UROC1
HMFN0672,NUGGC
HMFN0839,AGPAT9
HMFT1638,ADI1
HMG1,HMGB1
HMG14,HMGN1
HMG14P,HMGN1P2
HMG17,HMGN2
HMG17L1,HMGN2P9
HMG17L2,HMGN2P10
HMG17L3,HMGN4
HMG17P1,HMGN2P11
HMG17P2,HMGN2P12
HMG1L1,HMGB1P1
HMG1L10,HMGB1P10
HMG1L2,HDGF
HMG1L3,HMGB1P3
HMG1L4,HMGB1P4
HMG1L4P,HMGB1P4
HMG1L5,HMGB1P5
HMG1L6,HMGB1P6
HMG1L7,HMGB1P1
HMG1L8,HMGB1P8
HMG1L9,HMGB1P9
HMG2,HMGB2
HMG2A,HMGB3
HMG2L1,HMGXB4
HMG3,HMGB1
HMG4,HMGB3
HMG4L,HMGB3P1
HMG4L2,HMGB3P2
HMGA1-P,HMGA1P8
HMGA1L1,HMGA1P1
HMGA1L2,HMGA1P2
HMGA1L3,HMGA1P3
HMGA1L4,INO80B
HMGA1L5,HMGA1P5
HMGA1L6,HMGA1P6
HMGA1L7,HMGA1P7
HMGB1L1,HMGB1P1
HMGB1L10,HMGB1P10
HMGB1L11,HMGB1P11
HMGB1L12,HMGB1P12
HMGB1L13,HMGB1P13
HMGB1L14,HMGB1P14
HMGB1L15,HMGB1P5
HMGB1L3,HMGB1P3
HMGB1L4,HMGB1P4
HMGB1L5,HMGB1P5
HMGB1L6,HMGB1P6
HMGB1L8,HMGB1P8
HMGB1L9,HMGB1P9
HMGB1P,HMGB1P14
HMGB1P2,HMGB1P5
HMGB3L1,HMGB3P1
HMGB3L2,HMGB3P2
HMGCS,HMGCS1
HMGE,GRPEL1
HMGIC,HMGA2
HMGIY,HMGA1
HMGIYL1,HMGA1P1
HMGIYL2,HMGA1P2
HMGIYL3,HMGA1P3
HMGIYL4,INO80B
HMGN1L1,HMGN1P1
HMGN1L2,HMGN1P2
HMGN2L,HMGN2P16
HMGN2L1,HMGN2P1
HMGN2L10,HMGN2P10
HMGN2L11,HMGN2P11
HMGN2L12,HMGN2P12
HMGN2L2,HMGN2P2
HMGN2L3,HMGN2P3
HMGN2L4,HMGN2P4
HMGN2L5,HMGN2P5
HMGN2L6,HMGN2P6
HMGN2L7,HMGN2P7
HMGN2L8,HMGN2P8
HMGN2L9,HMGN2P9
HMGN2P,HMGN2P1
HMGX1,HMG20A
HMGX2,HMG20B
HMGX3,HMGXB3
HMGXB1,HMG20A
HMGXB2,HMG20B
HMI-ER1,MIER1
HMIC,MAN1C1
HMIS12,MIS12
HMIS18ALPHA,MIS18A
HMIS18BETA,OIP5
HMIT,SLC2A13
HML,CLEC10A
HML2,CLEC10A
HML6-C11,ERVK3-4
HML6-C12,ERVK3-5
HML6-C14,ERVK3-2
HML6-C19A,ERVK3-6
HML6-C19B,ERVK3-7
HML6-C5,ERVK3-3
HMLINCRNA717,GACAT2
HMMH,OGG1
HMMS19,MMS19
HMN6,IGHMBP2
HMOF,KAT8
HMP,IMMT
HMP1,PITRM1
HMP70,TM9SF1
HMPS,GREM1
HMR,NR4A1
HMRE11B,MRE11B
HMRP-2B,CCL15
HMSE,CES1
HMSE1,CES1
HMSL1,MSL1
HMSNIA,CMT1A
HMSNIB,MPZ
HMSNII,KIF1B
HMT-1,ALG1
HMTR3P,EXOSC6
HMUDG,SMUG1
HMUNC13,UNC13B
HMW,CFAP97
HMW-MAA,CSPG4
HN,MT-RNR2
HN-COR,NCOR1
HN1A,HN1
HN3,PSMB4
HNA2A,CD177
HNAB50,CELF1
HNB-2,CNTN5
HNBC1,SLC4A4
HNE,ELANE
HNEDD5,2-Sep
HNEI3,NEIL3
HNF-3,FOXM1
HNF-6,ONECUT1
HNF1,HNF1A
HNF1BETA,HNF1B
HNF1LA,HMBOX1
HNF3A,FOXA1
HNF3B,FOXA2
HNF3G,FOXA3
HNF4,HNF4A
HNF6,ONECUT1
HNF6A,ONECUT1
HNIFK,NIFK
HNIFU,ISCU
HNK-1,B3GAT1
HNK-1ST,CHST10
HNKR-P1A,KLRB1
HNL3,NLGN3
HNLF,TMED4
HNOA1,NOA1
HNOEL-ISO,OLFML3
HNP,KLK8
HNP-1,DEFA1
HNP-3,DEFA3
HNP36,SLC29A2
HNPCC,MLH1
HNPCC,MSH2
HNPCC1,MSH2
HNPCC2,MLH1
HNPCC4,PMS2
HNPP,PMP22
HNRBP2,RBFOX2
HNRD1,NRD1
HNRD2,NRD1
HNRGW,GRINA
HNRNP-A1,HNRNPA1
HNRNP-E1,PCBP1
HNRNP-E2,PCBP2
HNRNP-G,RBMX
HNRNP-G,RBMXP1
HNRNP-I,PTBP1
HNRNP-P2,FUS
HNRNP-Q,SYNCRIP
HNRNP-R,HNRNPR
HNRNP-X,PCBP1
HNRNPA0,HNRNPA0
HNRNPA1,HNRNPA1
HNRNPA1-LP,HNRNPA1P1
HNRNPA1L,HNRNPA1P6
HNRNPA1L1,HNRNPA1P6
HNRNPC,HNRNPC
HNRNPCP5,HNRNPCL2
HNRNPDP,HNRNPDP1
HNRNPE2,PCBP2
HNRNPG,RBMX
HNRNPG-T,RBMXL2
HNRNPH,HNRNPH1
HNRNPH',HNRNPH2
HNRNPM4,HNRNPM
HNRNPP2,FUS
HNRNPQ,SYNCRIP
HNRNPU,HNRNPU
HNRPA0,HNRNPA0
HNRPA1,HNRNPA1
HNRPA1L,HNRNPA1P6
HNRPA1L3,HNRNPA1P7
HNRPA1P1,HNRNPA1P1
HNRPA1P2,HNRNPA1P2
HNRPA1P3,HNRNPA1P3
HNRPA1P4,HNRNPA1P4
HNRPA2B1,HNRNPA2B1
HNRPA3,HNRNPA3P1
HNRPA3,HNRNPA3
HNRPA3P,HNRNPA3P2
HNRPA3P1,HNRNPA3P1
HNRPA3P2,HNRNPA3P2
HNRPAB,HNRNPAB
HNRPC,HNRNPC
HNRPCL1,HNRNPCL1
HNRPCL2,RALY
HNRPCL3,RALYL
HNRPCP,HNRNPCP1
HNRPD,HNRNPD
HNRPDL,HNRNPDL
HNRPDP,HNRNPDP1
HNRPE1,PCBP1
HNRPE2,PCBP2
HNRPF,HNRNPF
HNRPG,RBMXP1
HNRPGT,RBMXL2
HNRPH',HNRNPH2
HNRPH1,HNRNPH1
HNRPH2,HNRNPH2
HNRPH3,HNRNPH3
HNRPI,PTBP1
HNRPK,HNRNPK
HNRPL,HNRNPL
HNRPLL,HNRNPLL
HNRPM,HNRNPM
HNRPM4,HNRNPM
HNRPQ1,SYNCRIP
HNRPR,HNRNPR
HNRPU,HNRNPU
HNRPUL1,HNRNPUL1
HNRPUL2,HNRNPUL2
HNRPUP,HNRNPUP1
HNRPX,PCBP1
HNSPC,KCNQ2
HNT,RREB1
HNT,NTM
HNUP153,NUP153
HO-1,HMOX1
HO-2,HMOX2
HO3,HARS2
HO57,ATP6V1B2
HOA,MATN3
HOAT5,SLC22A10
HOBPIIA,OBP2A
HOBPIIB,OBP2B
HOC3F,HOXC12
HOFNH30,LPAR3
HOGA,OAT
HOGG1,OGG1
HOIL1,RBCK1
HOIP,RNF31
HOJ-1,RASSF8
HOK-2,ZNF239
HOKPP,CACNA1S
HOKPP,KCNE3
HOLE,TMEM121
HOM-MEL-40,SSX2
HOM-TES-103,IFFO1
HOM-TES-14,SYCP1
HOM-TES-85,LUZP4
HOMER-1B,HOMER1
HOMER-2,HOMER2
HOMER-2A,HOMER2
HOMER-2B,HOMER2
HOMER-3,HOMER3
HOMG,TRPM6
HOMG2,FXYD2
HOMG3,CLDN16
HOMT1A,NTMT1
HOMT1B,METTL11B
HOP,STIP1
HOP,HOPX
HOPA,MED12
HOPS,ALPL
HORK3,P2RY12
HOS,FBXW11
HOS,TBX5
HOT1,HMBOX1
HOT7T175,KISS1R
HOTTL,TTLL3
HOVO1,OVOL1
HOVO2,OVOL2
HOVO3,OVOL3
HOX1,HOXA1
HOX1,HOXA10
HOX1,HOXA11
HOX1,HOXA13
HOX1,HOXA3
HOX1,HOXA4
HOX1,HOXA5
HOX1,HOXA6
HOX1,HOXA7
HOX1,HOXA9
HOX1@,HOXA@
HOX10,VSX2
HOX11,TLX1
HOX11L-PEN,HHEX
HOX11L1,TLX2
HOX11L2,TLX3
HOX12,PBX2
HOX1A,HOXA7
HOX1B,HOXA6
HOX1C,HOXA5
HOX1D,HOXA4
HOX1D,HOXD3
HOX1E,HOXA3
HOX1F,HOXA1
HOX1G,HOXA9
HOX1H,HOXA10
HOX1I,HOXA11
HOX1J,HOXA13
HOX1K,HOXA2
HOX2,HOXB1
HOX2,HOXB2
HOX2,HOXB3
HOX2,HOXB4
HOX2,HOXB5
HOX2,HOXB6
HOX2,HOXB7
HOX2,HOXB8
HOX2,HOXB9
HOX2@,HOXB@
HOX2A,HOXB5
HOX2B,HOXB6
HOX2C,HOXB7
HOX2D,HOXB8
HOX2E,HOXB9
HOX2F,HOXB4
HOX2G,HOXB3
HOX2H,HOXB2
HOX2I,HOXB1
HOX3,HOXC12
HOX3,HOXC13
HOX3,HOXC4
HOX3,HOXC5
HOX3,HOXC6
HOX3,HOXC8
HOX3,HOXC9
HOX3@,HOXC@
HOX3A,HOXC8
HOX3B,HOXC9
HOX3C,HOXC6
HOX3D,HOXC5
HOX3E,HOXC4
HOX3F,HOXC12
HOX3G,HOXC13
HOX3H,HOXC11
HOX3I,HOXC10
HOX4,HOXD1
HOX4,HOXD10
HOX4,HOXD11
HOX4,HOXD3
HOX4,HOXD4
HOX4,HOXD8
HOX4,HOXD9
HOX4@,HOXD@
HOX4A,HOXD3
HOX4B,HOXD4
HOX4C,HOXD9
HOX4D,HOXD10
HOX4E,HOXD8
HOX4F,HOXD11
HOX4G,HOXD1
HOX4H,HOXD12
HOX4I,HOXD13
HOX7,MSX1
HOX8,MSX2
HOXA-AS1,HOTAIRM1
HOXA-AS4,HOXA10-AS
HOXA-AS5,HOXA11-AS
HOXA-AS6,HOTTIP
HOXA1-AS1,HOTAIRM1
HOXA11-AS1,HOXA11-AS
HOXA11AS,HOXA11-AS
HOXA11S,HOXA11-AS
HOXA13-AS1,HOTTIP
HOXA3AS,HOXA-AS2
HOXA6AS,HOXA-AS3
HOXB-AS5,PRAC2
HOXB13-AS1,PRAC2
HOXC-AS4,HOTAIR
HOXC-AS5,HOXC13-AS
HOXC11-AS1,HOTAIR
HOXD-AS1,HAGLR
HOXHB9,MNX1
HOZFP,NFXL1
HP,DLC1
HP,HP
HP-4,DEFA4
HP1,CBX5
HP1-ALPHA,CBX5
HP1-BETA,CBX1
HP1-BP74,HP1BP3
HP1.A,TFF1
HP10085,CLEC2B
HP10122,TMCO1
HP10328,B3GNT3
HP10347,CLEC4M
HP10390,CNPY2
HP10433,RARRES2
HP10481,TMEM5
HP1HS-ALPHA,CBX5
HP1HS-BETA,CBX1
HP1HS-GAMMA,CBX3
HP28,DNALI1
HP40,IL9
HP43.8KD,USP38
HP47,MFGE8
HP51CN,INPP5D
HP55,POLG2
HP58,DNAJC3
HP95,PDCD6IP
HPA,HPSE
HPA2,HPSE2
HPAD10,PADI1
HPAFP,AFP
HPAK3,PAK3
HPAN2,PAN2
HPANX2,PANX2
HPAO,AOC3
HPAP21,PRADC1
HPARP-3,PARP3
HPAST1,EHD1
HPBRII-4,CPSF6
HPBRII-7,CPSF6
HPC-1,STX1A
HPC2,CBX4
HPC2,ELAC2
HPC2,PCAP
HPC3,CBX8
HPC8,PCAP
HPCA,CACNA1A
HPCA,HPCA
HPCAL3,VSNL1
HPCL,HACL1
HPCN1,KCNA5
HPCN2,KCNA4
HPCN3,KCNA3
HPCPNI,ADAMTS2
HPDR,PHEX
HPDR1,PHEX
HPE2,SIX3
HPE3,SHH
HPE4,TGIF1
HPE5,ZIC2
HPE9,GLI2
HPEAS,KLHDC3
HPEBP4,PEBP4
HPECT1,SLC15A1
HPEPT1,SLC15A1
HPF1,ZNF83
HPF12,ZNF92
HPF2,ZNF84
HPF3,ZNF17
HPF34,ZNF93
HPF4,ZNF85
HPF7,ZNF91
HPF9,ZNF117
HPFH1OR,OR52A1
HPH1,PHC1
HPH2,PHC2
HPH3,PHC3
HPIP,HCFC1R1
HPIP,PBXIP1
HPIP1,PAK1IP1
HPK1,MAP4K1
HPLH2,PRF1
HPM1,METTL18
HPN3,SCN10A
HPO1,GFER
HPO2,GFER
HPOC5,POC5
HPOT1,POT1
HPP1,TMEFF2
HPPAR,PPARA
HPR1,THOC1
HPR2,HPSE2
HPR6.6,PGRMC1
HPRG,HRG
HPRG1,HPYR1
HPRN,NARFL
HPRP16,DHX38
HPRP18,PRPF18
HPRP3,PRPF3
HPRP31,PRPF31
HPRP4,PRPF4
HPRP4P,PRPF4
HPRP6,PRPF6
HPRP8,PRPF8
HPRP8BP,SNRNP40
HPRT,HPRT1
HPS,HPS1
HPS2,TFF1
HPS2,AP3B1
HPS7,DTNBP1
HPS8,BLOC1S3
HPS9,BLOC1S6
HPSE1,HPSE
HPSO4,PRPF19
HPT-1,CDH17
HPTA,HGF
HPTMP,PPM1K
HPTP,PTPRD
HPTP-J,PTPRU
HPTPA,PTPRA
HPTPETA,PTPRJ
HPTR3,SLC15A3
HPTTG,PTTG1
HPUF-A,KIAA0020
HPV18E5L,HPVC1
HPV18I,HPV18I1
HPVE6A,UBE3A
HPX42,VENTXP7
HPX42B,VENTX
HPX5,MSX2P1
HPX6,LBX1
HPXEL,ECH1
HQ0256,DDX47
HR-PTPU,PTPRM
HR23B,RAD23B
HRAD1,RAD1
HRAD17P1,RAD17P1
HRAD17P2,RAD17P2
HRAD50,RAD50
HRAD54,RAD54L
HRAS1,RASSF7
HRAS1,HRAS
HRAS2,ERAS
HRASLS1,HRASLS
HRASLS3,PLA2G16
HRASLS4,RARRES3
HRASP,ERAS
HRB,AGFG1
HRB2,KRR1
HRBL,AGFG2
HRBP14.4,POLR2F
HRC1,RASSF7
HRCA1,RNF139
HRCA1,RCA1
HRCE1,RCE1
HRD,TBCE
HRD1,SYVN1
HREC2,RAD51B
HRECK,RECK
HRED1,ADARB1
HRED2,ADARB2
HREP,FBXW10
HREP,CDRT1
HRES-1,HRES1
HRES-1/P28,HRES1
HRES-1/RAB4,RAB4A
HREV,NR1D1
HREV107,PLA2G16
HREV107-3,PLA2G16
HRFT1,SLC52A1
HRFT2,SLC52A3
HRFT3,SLC52A2
HRG,NRG1
HRG,HRG
HRG1,SLC48A1
HRG2,NRG2
HRG22,HIC2
HRG4,UNC119
HRG4,NRG4
HRGP,HRG
HRH-J8,DDX10
HRH1,DHX8
HRH1,HRH1
HRH2,DHX15
HRH2,HRH2
HRHAMR,GPR182
HRI,EIF2AK1
HRIHFB2072,SCOC
HRIHFB2091,RBM12
HRIHFB2115,UBA2
HRIHFB2122,TRIOBP
HRIHFB2206,THAP11
HRIHFB2216,TSPYL2
HRIHFB2255,NOL4
HRIHFB2436,ZNF318
HRINS,ABCC8
HRIP,RPAIN
HRIT1-ALPHA,BCL11B
HRK1,KCNJ4
HRL14,RPL14
HRLP5,HRASLS5
HRLRRP,LRRC10
HRMP1,IFITM5
HRMT1L1,PRMT2
HRMT1L2,PRMT1
HRMT1L3,PRMT3
HRMT1L3,PRMT8
HRMT1L4,PRMT8
HRMT1L5,PRMT5
HRMT1L6,PRMT6
HRNBP1,RBFOX1
HRNBP2,RBFOX2
HRNBP3,RBFOX3
HRNT1,OGT
HRP-L30-ISO,RSL24D1
HRP1,USP6
HRPAP20,NDUFAF4
HRPB14,POLR2J
HRPB14.5,POLR2I
HRPB19,POLR2G
HRPB25,POLR2E
HRPB7.6,POLR2L
HRPC.1050_D_4,ITM2C
HRPC155,POLR3A
HRPE773,ZG16B
HRPK-465_F_21,OR5C1
HRPT1,CDC73
HRPT2,CDC73
HRR-1,NR1H4
HRR1,NR1H4
HRRP-40,EXOSC3
HRRP40P,EXOSC3
HRRP41P,EXOSC4
HRRP42P,EXOSC7
HRRP46P,EXOSC5
HRRP4P,EXOSC2
HRS,HGS
HRS,SRSF5
HRT-1,HEY1
HRUL138,DZIP3
HRVP1,CLDN3
HRX,KMT2A
HRX2,KMT2B
HRY,HES1
HS,MAP3K14
HS-40,NPRL3
HS.22998,NRXN1
HS.37288,NR1D2
HS.46638,MPPED2
HS.54452,IKZF1
HS.6454,GIPC1
HS.6719,BCS1L
HS.76067,HSPB1
HS.78846,HSPB2
HS.8004,KALRN
HS.84084,APPBP2
HS.84359,CLDN7
HS.89862,TRADD
HS1,YWHAQ
HS1,EEF1A2
HS1,HCLS1
HS1-BP3 FLJ14249,HS1BP3
HS126B42,SERHL
HS1BP1,HAX1
HS24/P52,HSPA4
HS271M21,OR2H5P
HS29K1,OR2E1P
HS322B1A,GSTTP1
HS3ST5,HS3ST6
HS3ST5,HS3ST5
HS5O6A,TMEM184B
HS6M1-10,OR2B2
HS6M1-11,OR4F2P
HS6M1-12,OR2H2
HS6M1-13,OR2H5P
HS6M1-14,OR2I1P
HS6M1-15,OR2W1
HS6M1-17,OR10C1
HS6M1-18,OR11A1
HS6M1-19,OR12D1
HS6M1-20,OR12D2
HS6M1-21,OR5V1
HS6M1-22,OR2B4P
